Product,Regular price,Sale price,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Energy (kcal),Carbohydrates,Sugars,Added sugars,Fats,Saturated fats,Unsaturated fats,Protein,Fiber,Salt
Mentos Gum White sweet mint value pack,5.99,NA,"Snoep, chocolade, koek",Kauwgom,Kauwgom in pot,Pot (mint),NA,NA,170,68,0,NA,0,0,NA,0,NA,0.03
Mentos Gum White green mint,4.99,NA,"Snoep, chocolade, koek",Kauwgom,Kauwgom in pot,Pot (mint),NA,NA,173,68,0,NA,0.6,0.5,NA,0,NA,0.03
Mentos Gum White cool mint,4.99,NA,"Snoep, chocolade, koek",Kauwgom,Kauwgom in pot,Pot (mint),NA,NA,170,68,0,NA,0,0,NA,0,NA,0.05
Mentos Gum Vitamins citrus blend,4.99,NA,"Snoep, chocolade, koek",Kauwgom,Kauwgom in pot,Pot (fruit),NA,NA,185,71,0,NA,0.3,0.3,NA,0,NA,0.22
Mentos Gum Vitamins forest fruit mix,4.99,NA,"Snoep, chocolade, koek",Kauwgom,Kauwgom in pot,Pot (fruit),NA,NA,186,71,0,NA,0.3,0.2,NA,0,NA,0.23
Oldtimers Seizoensdrop stoofpeer drop,2.79,NA,"Snoep, chocolade, koek",Snoep,Harde snoep,Zoete drop (hard),NA,NA,304,67,49,NA,0,0.2,NA,1.4,NA,0.25
Sportlife Big gums strawberry blueberry,4.99,2.99,"Snoep, chocolade, koek",Kauwgom,Kauwgom in pot,Pot (fruit),NA,NA,176,69,0,NA,0.8,0.6,NA,0,NA,0.18
Garden Gourmet Veggie burger deluxe spicy fresh kimchi,4.19,NA,NA,NA,NA,NA,NA,NA,147,11.8,3.3,NA,7.5,0.7,NA,5.1,5.7,1.08
Mora Thai style sweet chili bites,5.55,NA,Diepvries,Diepvries hapjes,NA,NA,NA,NA,241,32,7.1,NA,10,2.6,NA,4.9,2.2,1.4
Mora Mozzarella cheese bites,4.69,NA,Diepvries,Diepvries snacks,Ovensnacks,Kaashapjes (oven),NA,NA,328,20,1,NA,20,9.4,NA,17,2,1.4
